"Price","Model","Location","Posted"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","JAN 06"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","JAN 15"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","6 DAYS AGO"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","7 DAYS AGO"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","3 DAYS AGO"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","JAN 25"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","SADDAR, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","JAN 06"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","JAN 15"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","6 DAYS AGO"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","7 DAYS AGO"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","3 DAYS AGO"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","JAN 25"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI","TODAY"
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","BMCHS, KARACHI",""
"Rs 72,000","Apple Iphone X 64GB PTA Apprpved","",""
